id,created_at,text
699420308206456833,2016-02-16 02:29:30,RT @WhiteHouse: Shoutout to @KendrickLamar and all the artists at the #Grammys working to build a brighter future. #MyBrothersKeeper https:…
698990028282839040,2016-02-14 21:59:44,"This #Valentines Day, speak up for equality: https://t.co/WAuwEmxUhm #LoveIsLove"
698957195971424256,2016-02-14 19:49:16,"No matter who you are or whom you love, celebrate #Valentines Day with pride. #LoveIsLove https://t.co/btFuHnIEfV"
698619449134477312,2016-02-13 21:27:11,Stand against discrimination—join the fight for equality. https://t.co/ZUDqZ6fbQM #LoveIsLove
698530104385736704,2016-02-13 15:32:09,Retweet if you believe #LoveIsLove. https://t.co/ssMsbWMcXE
698279640570286080,2016-02-12 22:56:54,Watch President Obama thank @TheEllenShow for all she's done for the LGBT community: https://t.co/Und55Vdlxy #LoveIsLove
698250864910176257,2016-02-12 21:02:33,"Read President Obama's thoughts on climate change, technology, and #WomenInSTEM: https://t.co/VRyX8cxFEk https://t.co/IrcnE2T88M"
698225135925469190,2016-02-12 19:20:19,"Thanks to President Obama, future generations will still be able to explore—from sea to shining sea. #FindYourPark https://t.co/Zt1U8dF3vW"
698194218305458176,2016-02-12 17:17:28,President Obama has protected more land and water than any of his predecessors—and he's not done yet: https://t.co/KEZZOHgyij #FindYourPark
698168590134947840,2016-02-12 15:35:37,RT @WhiteHouse: Big news: @POTUS just protected 1.8 million acres of public lands in CA → https://t.co/jnLF7pHein #FindYourPark https://t.c…
697945797896196096,2016-02-12 00:50:20,"RT @TheEllenShow: .@BarackObama was here in 2007, and tomorrow he’s barack. I mean back. #TBT @POTUS
https://t.co/LKU0eS0GXF"
697898468103188480,2016-02-11 21:42:15,"Marriage equality may be the law of the land, but there's more work to do to end discrimination. Join the fight: https://t.co/DlDQ35K8o6"
697874470204108800,2016-02-11 20:06:54,Show what you believe—get the #LoveIsLove tee. https://t.co/4uqGPAt4TZ https://t.co/FxaPN3Z36l
697848892377837568,2016-02-11 18:25:16,"Celebrate this Valentine's Day with pride, and no matter who you love, commit to ending discrimination. #LoveIsLove https://t.co/mn6BZWEe1y"
697829799344013313,2016-02-11 17:09:23,"""The fact is we’ve gotten a heck of a lot done these past seven years, despite the gridlock."" —President Obama https://t.co/hrw7PNSEX1"
697524769621733376,2016-02-10 20:57:19,"LIVE: President Obama is speaking in Springfield, Illinois. https://t.co/FZPraej5FL"
697503196944662528,2016-02-10 19:31:35,"Tune in at 4:25 p.m. ET to watch President Obama speak to supporters in Springfield, Illinois: https://t.co/mE04l0NorZ"
697475643274096640,2016-02-10 17:42:06,Join the @OFA Truth Team and spread the facts on issues that matter: https://t.co/4EOm2PAXq0 https://t.co/19qvZpVawl
697186289792249856,2016-02-09 22:32:19,Say cheese. #NationalPizzaDay https://t.co/cqNblFDAta
697166031945469952,2016-02-09 21:11:49,RT @WhiteHouse: .@POTUS's final budget continues the fight to #ActOnClimate for future generations: https://t.co/KfMWpJVsTW https://t.co/If…
697136216857305088,2016-02-09 19:13:20,An increase in solar jobs is good for our economy and our environment. #ActOnClimate https://t.co/g22J3tMhVp
697097128275890177,2016-02-09 16:38:01,Good news: 2015 was another great year for clean energy growth. https://t.co/IoCSX8ybwm #ActOnClimate
696815831334846465,2016-02-08 22:00:15,"RT @CBSThisMorning: WATCH: @POTUS and @FLOTUS play @GayleKing's game ""I love it when..."" during LIVE interview ahead of #SB50 on @CBS!
http…"
696788613120397312,2016-02-08 20:12:05,Criminal justice reform is overdue. Speak up for fairness—add your name: https://t.co/A1b1B574uJ #FixTheSystem
696763039823982592,2016-02-08 18:30:28,We need to #FixTheSystem. https://t.co/hXk84oRzMQ
696733061661085696,2016-02-08 16:31:21,"Health care marketplace enrollment numbers are in, and it's good news. Take a look: https://t.co/dfmjlkF6Mz #Obamacare"
696016525065584641,2016-02-06 17:04:05,"""The budget I will send to Congress this Tuesday will double funding for clean energy research."" —President Obama https://t.co/Af3mGt8i15"
696001471389650944,2016-02-06 16:04:16,"In the weekly address, President Obama discusses how the private-sector is helping in the fight to #ActOnClimate: https://t.co/aDoLLR6Btl"
695741042776281088,2016-02-05 22:49:25,Last year was the second-best year for job creation since the late 1990s—but there's more work to do. https://t.co/Ogiw7piGBf
695720523150585857,2016-02-05 21:27:53,The economy continues a record-breaking streak of 71 straight months of private-sector job growth. Read more: https://t.co/m8n78oUWXI
695687797919911937,2016-02-05 19:17:50,"RT @WhiteHouse: ""We've recovered from the worst economic crisis since the 1930s."" —@POTUS: https://t.co/oAm205Zui1 https://t.co/sdy9UTqLXi"
