id,created_at,text
699463792669757441,2016-02-16 05:22:18,RT @YaBoyKyloRen: Dam I miss David Bowie fam
699365993148256256,2016-02-15 22:53:41,What happens when you get frozen in carbonite.... https://t.co/eJipHzPHzn
699114624021504000,2016-02-15 06:14:49,RT @StarWarsYett: no
699113833835601921,2016-02-15 06:11:41,https://t.co/tmCMBCYCp8
698918612334198785,2016-02-14 17:15:57,RT @Fallout: Happy #ValentinesDay https://t.co/6HVqULYDUi
698918563369852928,2016-02-14 17:15:45,https://t.co/N2tcahiPvE
698855492945375232,2016-02-14 13:05:08,RT @DepressedDarth: The first thousand people to retweet this win a lightsaber signed by me
698855380177313792,2016-02-14 13:04:41,Just woke up to a rolled house. How's your Valentine's day
698709447011606529,2016-02-14 03:24:48,https://t.co/MDuPT8GtQo
698708770218733568,2016-02-14 03:22:06,"RT @DepressedDarth: Dear Padme,

Happy Valentine's Day, sorry about the force choke.

Sincerely,

Ani"
698578466120278016,2016-02-13 18:44:19,RT @BernievsHiIlary: https://t.co/C2vdOkvjI0
698576842551332864,2016-02-13 18:37:52,https://t.co/RAtkSy0Dzk
698572321246875649,2016-02-13 18:19:54,"Really, Ben? https://t.co/8i1GsgpPjW"
698510454633660416,2016-02-13 14:14:04,RT @1337SoloSlayer: OH PLEASE GOD NO!!!! https://t.co/2DxIZGZPiz
698509487020359680,2016-02-13 14:10:14,@HanSoloFA these are sick as hell
698509114876522496,2016-02-13 14:08:45,But that's my line! https://t.co/4ULyAJxd9B
698331881994108929,2016-02-13 02:24:29,https://t.co/ahLwoXapdp
698294922047201280,2016-02-12 23:57:37,https://t.co/f4zS3jTh2D
698184674892476416,2016-02-12 16:39:32,Who did this https://t.co/Ec1KoUFq0O
697993894592700417,2016-02-12 04:01:27,RT @LordPaIpatine: Make it happen. Donate to this man's cause. https://t.co/n6RBcZtqFm
697866907295342592,2016-02-11 19:36:51,RT @LordPaIpatine: There's always time for a 🍺 https://t.co/Wo6HqJzgO2
697865422830510080,2016-02-11 19:30:57,Wow smh https://t.co/SmrqSlBS3b
697627613540564992,2016-02-11 03:45:59,Tasty https://t.co/OO94GL6hJZ
697513487854133248,2016-02-10 20:12:29,https://t.co/MXtnREY7H1
696909211075084288,2016-02-09 04:11:18,"RT @_Kim_Jongun: North Korea's soccer team is second to none.

Too bad we can't afford a stadium.

Or a ball."
696899190836871168,2016-02-09 03:31:29,Monday hit me like #Fallout4 https://t.co/tnY0braC6B
696760575020417024,2016-02-08 18:20:40,OMG MUST READ AND RT HAN SOLO THEORY https://t.co/AWOnShfpzV
696760407327961088,2016-02-08 18:20:00,RT @StarWarsYett: no
696549283085094912,2016-02-08 04:21:05,https://t.co/uqReBz2EZE
696548893610344448,2016-02-08 04:19:32,RT @DepressedDarth: When you realize how far away Episode VIII is https://t.co/qEjsUjybt7
