id,created_at,text
699408554520813568,2016-02-16 01:42:48,"Some good news from the ground in South Carolina!

Now's the time to join our team! https://t.co/dy8KnYJqEj
https://t.co/axdKkWGEeH"
699370920717258757,2016-02-15 23:13:15,"@Hylt2297 Thanks for coming out, Jake!"
699369747654303749,2016-02-15 23:08:36,Packed house in E. Lansing today to see Gov. Kasich -- the 1 candidate w/ a positive vision for a stronger America. https://t.co/7SezIqtJwq
699366398812934144,2016-02-15 22:55:17,An incredible crowd. Thank you! https://t.co/n95wQxtvKz
699323450368913408,2016-02-15 20:04:38,"Join us tomorrow in South Carolina:

Greenville: https://t.co/t3SMHvxD3G
Lexington Co: https://t.co/7fTaLcz49k https://t.co/I9S2fk8cAo"
699317821205929984,2016-02-15 19:42:15,"Gov. John Kasich's campaign is standing out in South Carolina for all the right reasons -- and momentum is growing.
https://t.co/ph7qmkkit1"
699312888087998464,2016-02-15 19:22:39,"@stephen_lietz Best of luck on your venture, Stephen!"
699299839096573952,2016-02-15 18:30:48,@KyleWood3 Looking forward to it!
699263061765582849,2016-02-15 16:04:40,"The Kasich team keeps on growing. Endorsements this AM from 3 legislators in Pennsylvania! 

https://t.co/cSFW7opeVs https://t.co/LAjLee6HVo"
699260408406937603,2016-02-15 15:54:07,RT @chrisschrimpf: 600+ to see @JohnKasich at 1st stop in Michigan https://t.co/E0hAuRZ3LH
699258475327655937,2016-02-15 15:46:26,RT @TeamJohnKasich: Watch Gov. Kasich's town hall live NOW from @gvsu in Michigan: https://t.co/GUV8Tcaxxh
699250467826593793,2016-02-15 15:14:37,".@JohnKasich is about to kick off his first town hall of the day at @GVSU. 

Watch live here! https://t.co/Q4hZKpFXKA"
699250073981440001,2016-02-15 15:13:03,"RT @bgittleson: About 600 people here for @JohnKasich's first Michigan town hall today, at @GVSU, according to organizers https://t.co/8xg5…"
699238899890200580,2016-02-15 14:28:39,"RT @KevinServick: Great crowd streaming into Grand Valley State this AM to see @JohnKasich. Doors don't ""officially"" open until 9:30! https…"
699234444729786368,2016-02-15 14:10:57,Support @JohnKasich from home by joining our National Phone From Home Program! https://t.co/mKNnQlpV0n https://t.co/zf8WwaS7To
699223184181039106,2016-02-15 13:26:12,RT @smerconish: The power of a positive approach? @JohnKasich from @phillydotcom : https://t.co/SdxB9KT3n4 https://t.co/Ij7p98O98v
699222937027481600,2016-02-15 13:25:13,"Good morning, Michigan! 3 campaign stops coming right up. #Kasich4Us  https://t.co/9TRMhQlpt3"
699048406371606528,2016-02-15 01:51:42,"""I get my energy by being for things ... not against things.""

Check out Gov Kasich's ideas: https://t.co/rvquDJR114
https://t.co/GxBc6xAlig"
699037098549108736,2016-02-15 01:06:46,"RT @TeamJohnKasich: A little look behind-the-scenes after yesterday's pre-debate rally with @TajhB10 

#Kasich4Us https://t.co/24ESgNnrHn"
698999216379662336,2016-02-14 22:36:14,"@JebBush What's the truth? Bush profited off his personal investment in Obamacare. -staff 

https://t.co/GXfcbvfkwt https://t.co/BCqL69eifZ"
698953963740082176,2016-02-14 19:36:25,"In case you missed it: @TajhB10 supports @JohnKasich, praises ""his values, his morals."" 

https://t.co/Z9GR7F1WS5 https://t.co/UfVER7drgM"
698932197802299395,2016-02-14 18:09:56,"Another big win for Gov. Kasich coming out of last night's debate in South Carolina. 

https://t.co/NoEFtYzaXX https://t.co/eQ8gvxQRRN"
698915207842787328,2016-02-14 17:02:25,Get the latest news and updates by downloading the #TeamKasich mobile app today! https://t.co/PVYD2LGO5M https://t.co/qL2vkHvW6g
698878477269929984,2016-02-14 14:36:28,"RT @TeamJohnKasich: ""It was a demolition derby, and my car's still going around the track.""

-@JohnKasich 

#GOPDebate https://t.co/VkQow8W…"
