id,created_at,text
699395174665949184,2016-02-16 00:49:38,"Tonight, join me for a fun and sassy photo shoot with my new best friends. #LSSC https://t.co/qyoCaGlCvU"
698277196440408064,2016-02-12 22:47:11,"Damn, Jon. https://t.co/5mFhxH2Wfh"
697620476844253184,2016-02-11 03:17:37,"RT @colbertlateshow: Tonight! Turns out the Ed Sullivan Theater is on the road from New Hampshire to South Carolina. #LSSC
https://t.co/FsT…"
697619750885703680,2016-02-11 03:14:44,"RT @colbertlateshow: Tonight! @RedHourBen takes a seat and makes himself uncomfortable. #LSSC
https://t.co/e9ExhI9Ap1"
697604020744142849,2016-02-11 02:12:14,"My underdesk sandwich man- he's always there!
#BernieSandwiches https://t.co/CGRy7OeBov"
697596704351240192,2016-02-11 01:43:09,Blackbird: You were only waiting for Jon's version to arise. Try watching this 2 or 3 or 50 times! #Batistemania https://t.co/C10WbRxjSV
697244370647588864,2016-02-10 02:23:06,"RT @colbertlateshow: Tonight! It’s the biggest star to come out of New Hampshire. #LSSC
https://t.co/jafbfmxoZ2"
697244279991877632,2016-02-10 02:22:45,"RT @colbertlateshow: .@JonBatiste and Stay Human recorded an album! Look for it in the melodica section. https://t.co/u6kLTcxYGm #LSSC
http…"
696872441440645120,2016-02-09 01:45:11,"Tonight, Bill O’Reilly explains how @realDonaldTrump captured America's hearts, minds, and above all, ears.
https://t.co/qecfwsH8dQ"
696862280814735361,2016-02-09 01:04:49,"Watch @iamsambee tonight at 10:30 pm, before I get her deported back to Saskatchewan for this. #LSSC
https://t.co/vISfXRaqWS"
696861709219323904,2016-02-09 01:02:33,RT @colbertlateshow: Will Ferrell plus cute animals. Stop reading this and watch. https://t.co/fhJgA77HfU #LSSC https://t.co/tgRXeBM8uK
696728336114909184,2016-02-08 16:12:34,Thanks to Will Ferrell for stopping by and showcasing the fiercest beasts that Petco has to offer. https://t.co/C27HXgVHZy
695741444116459521,2016-02-05 22:51:01,Which is more joyful: seeing a photo of a coworker's baby or free guac on your burrito? #FridayNightFights
695741232656429056,2016-02-05 22:50:10,Who would win in a fight: Mozart with a magic flute or Beethoven with a machete? #FridayNightFights
695626270810501120,2016-02-05 15:13:21,Try this one on for size - Nina Simone https://t.co/XZ5H7az4WW https://t.co/Yj3KsU2bh0
