id,created_at,text
699463749925793792,2016-02-16 05:22:08,"RT @_Kim_Jongun: My clothes don't fit anymore.

There's only one possibly explanation.

America is shrinking my clothes."
699422156271284226,2016-02-16 02:36:51,"When I heard about the 2nd Death Star, I said something smelled fishy

Right then Admiral Ackbar walked in

I had to meet with HR after that"
699352324733603843,2016-02-15 21:59:22,"Obi-wan said my dad killed my mom.

Then again, he also said my dad killed my dad.

One time the blue milk went bad.

He said my dad did it."
699233079966224384,2016-02-15 14:05:32,"To be a Jedi, I had to swear off women.

And give up like half of all human emotions.

But now I can levitate rocks

So, yeah, there's that."
699027894698438656,2016-02-15 00:30:12,"Girl, are you a dead tauntaun?

Because you make me feel all warm inside.

That’s what I’d say if I ever met a woman.

No wonder I’m alone."
699011286106038272,2016-02-14 23:24:12,"Remember that time I saved the day and got the girl and lived happily ever after?

No, you don't.

It's never happened.

And it never will."
698975421308780544,2016-02-14 21:01:41,"I set up a Tinder account.

My nearest match is 600 trillion miles away.

I hope she drives because I don't anymore."
698884239408898049,2016-02-14 14:59:21,"The Force guides all things.

I trusted the Force to lead me to my soul mate.

The Force led me to an island by myself.

Fuck the Force."
698663650819706880,2016-02-14 00:22:49,"I wrote a haiku about my day:

I stare at the sea.
It is boring like always.
I don't have Netflix."
698595869906636804,2016-02-13 19:53:29,"I'm starting a softball league.

I just need 8 more players for my team.

And then all the other players for all the other teams.

I'll wait"
698550473406676992,2016-02-13 16:53:05,"Deep down, I know these rocks care about me.

Even though outwardly they never give me any signs of love or support.

Just like my dad."
698501357368668160,2016-02-13 13:37:55,"I don't always stare at the ocean.

Sometime I gaze at it.

Or even peer at it intently.

I lead a rich and full life."
698333206333026304,2016-02-13 02:29:45,"Way to kill all the padawans, Kylo Ren.

No one has ever thought of that before.

Your only Dark Side power is plagiarism."
698255275921444866,2016-02-12 21:20:05,"One time I asked Leia how her date with Han went.

She said, ""Let's just say he shot first.""

I can never unhear that."
698161991354097664,2016-02-12 15:09:24,"Han was frozen in Jabba's palace for months

I said I needed time to make a plan

Really I just wanted a break from him

He's kind of a dick"
697978799200301057,2016-02-12 03:01:28,"My last crush turned out to be my sister.

There are plenty of other fish in the sea.

But exactly zero women.

I hate this planet."
697894679656984578,2016-02-11 21:27:12,"My relationship with my dad was pretty straightforward.

Every time I met him, he tried to kill me.

He wasn't one for mixed signals."
697830384936026112,2016-02-11 17:11:43,"The worst thing about being on this island is there are no people.

The best thing about being on this island is there are no people."
697775852000571392,2016-02-11 13:35:01,"Kylo Ren used to whine that Han was too strict.

Whatever.

My dad believed ""spare the rod, spoil the child""

Only his rod was a lightsaber."
697504043485282305,2016-02-10 19:34:57,"One time I fought a vision of my dad in a cave.

I'm not sure what it was supposed to teach me

Afterward Yoda banned me from taking shrooms"
697480888104394753,2016-02-10 18:02:56,"I miss my friends and family more than anything in the galaxy.

Except tacos.

I'd sell my soul to the Dark Side for tacos."
697428948087652352,2016-02-10 14:36:33,"Before I left, I told Leia I would miss her.

All she said was, ""I know.""

Han laughed.

He ruined that woman."
697176634647044096,2016-02-09 21:53:57,"I did an awesome job staring at the ocean today.

There was no one around to appreciate it.

I gave myself a high-five.

My hand fell off."
697084088545636352,2016-02-09 15:46:12,Relationship status: The last woman I was inside of was a tauntaun.
697021109020069889,2016-02-09 11:35:57,"I was so mad when Yoda lifted my X-wing

He could've moved it anytime he wanted

He let it soak in the swamp for days

It ruined the leather"
696805578111377408,2016-02-08 21:19:30,"One time I told Kylo Ren to get a haircut.

That's when he killed all the padawans.

That kid has anger issues."
696763709088202752,2016-02-08 18:33:08,"When I told Leia I was leaving, she called me a coward.

I gave my hand for the cause.

What did she ever give?

She said her entire planet."
696699808908734465,2016-02-08 14:19:13,"I don't miss my old friends.

With Han, everything was always about him.

Now I only hang out with rocks.

At least they're good listeners."
696534903010279425,2016-02-08 03:23:56,"I felt a great disturbance in the Force, as if millions of Panthers fans suddenly cried out in terror and were suddenly silenced."
696447085349117956,2016-02-07 21:34:59,"I'm kind of glad my dad didn't raise me and Leia.

All he ever did was work.

I doubt the Death Star had a good daycare."
696398552319291392,2016-02-07 18:22:07,"Leia used to brag that she was super popular as a kid.

She even said she was prom queen.

Funny how all the evidence blew up on Alderaan."
696348550909796354,2016-02-07 15:03:26,"Being a moisture farmer wasn't so bad.

Except on those rare occasions when it rained.

That flooded the market.

Get it?

God, I'm lonely."
