id,created_at,text
699457356548059136,2016-02-16 04:56:43,RT @aqualus: I think dogs would abandon us if they could figure out how to make peanut butter.
699435303103123456,2016-02-16 03:29:05,@bretterlich I was just thinking that
699416092364525568,2016-02-16 02:12:45,@welldoneson more intelligent = believing oil companies rather than scientists
699414665332334593,2016-02-16 02:07:05,"@welldoneson Don't tell it to me, tell it to the thousands of climate scientists who disagree with you based on evidence"
699413557843091456,2016-02-16 02:02:41,RT @TheYoungTurks: Get your ‘Bernie So Punk’ Poster at https://t.co/hUg07uWGKH today! https://t.co/14DV7t6fn6 https://t.co/ZSy5dsuLlJ
699413542605225984,2016-02-16 02:02:37,TIL Obama invented climate change. https://t.co/IOsGbEKulw
699369942785740800,2016-02-15 23:09:22,RT @davidsirota: #NoWeCant https://t.co/FMrkg7A3ys
699358604055318528,2016-02-15 22:24:19,"RT @Snowden: ""please clap"" https://t.co/iAHUHlN3X1"
699352217678016512,2016-02-15 21:58:56,Veil https://t.co/hXg8xFLJUr
699348309312274432,2016-02-15 21:43:24,"@CarloLutz thank you, reading it now"
699344819227742208,2016-02-15 21:29:32,He's gonna get so many nude photos sent after this... https://t.co/hENlPiMo4S
699277219881840641,2016-02-15 17:00:55,@BenMank77 how was Where To Invade Next?
699277100608409600,2016-02-15 17:00:27,Another random one: what are all time favorite Archer lines? https://t.co/asuj1XfRaJ
699143325371138049,2016-02-15 08:08:52,@hearteyeslest grrrrr
699138711900917760,2016-02-15 07:50:32,@Donaumensch I've been enjoying sheriff of nottingham recently
699138104108539905,2016-02-15 07:48:08,@SexNerdSandra ooh thanks
699124678477148160,2016-02-15 06:54:47,@lowercase_v thank you!
699124537384783872,2016-02-15 06:54:13,@SexNerdSandra who delivers ice cream in LA? this could change my life
699120219390763012,2016-02-15 06:37:03,"@paulbartunek ha, TYT might. not sure."
699119700047851520,2016-02-15 06:35:00,@VillainVaughan that's actually pretty good
699118978384302080,2016-02-15 06:32:08,@paulbartunek ?
699118933551362052,2016-02-15 06:31:57,@Donaumensch oh I've watched a ton of their vids
699118295052517377,2016-02-15 06:29:25,"@VillainVaughan thank you. and yeah, that's what i'm having trouble finding"
699118252354502656,2016-02-15 06:29:15,"@Donaumensch awesome, haven't played that one"
699118214979022848,2016-02-15 06:29:06,@michaelshure I have no good response to that. Happy valentine's day Michael.
699117563846864896,2016-02-15 06:26:30,@Hank_Thompson will do
699117312670969856,2016-02-15 06:25:30,@Dresden_Nova thank you!
699117028192325632,2016-02-15 06:24:23,"Thanks for the recommendations guys, trying them out now"
699116993169874944,2016-02-15 06:24:14,@big_tom13 haha thank you so much
699116960248758273,2016-02-15 06:24:06,"@Hank_Thompson that's actually pretty damn close, thanks"
699116929638801408,2016-02-15 06:23:59,@Kyle_Prince0 wow thank you
699115529265545216,2016-02-15 06:18:25,"Super random request, if you can identify this font, or a comparable one, please let me know. Hey, I said random. https://t.co/p0T7wJ2SXn"
699112686567575552,2016-02-15 06:07:08,@J_Langschwert I actually stopped watching the walking dead a half season back :(
699112608058609664,2016-02-15 06:06:49,@zinseng 100%
699108849958039552,2016-02-15 05:51:53,"Ronny Germany, thank you SO much for sending me a copy of Dead of Winter for my bday. Amazingly nice of you! Please tweet me"
699099293462851586,2016-02-15 05:13:54,@zinseng I didn't even think about that. jesus that's awful
699059569083809792,2016-02-15 02:36:03,"@thunderalvarez @zinseng 1) we're not in the last six months. and 2) please show me where in the constitution the ""thurmond rule"" appears"
699053232887169024,2016-02-15 02:10:53,@MA_Duuggan wasn't old enough
699052877503856640,2016-02-15 02:09:28,@tomtwittmorin @VCirkovs unless its the democrats who win the midterms
699052255601766400,2016-02-15 02:07:00,"What do you think we had the 2012 election for, exactly? https://t.co/8NhBnLZ6cG"
699011805960491009,2016-02-14 23:26:16,@MrsQuags wow. I'd want to see the raw data though to see how many they had
699008274880819200,2016-02-14 23:12:14,"@jasonbush2006 then your issue is with the founding fathers, not with me. btw, ""supreme"" is literally in their name."
699004461348327424,2016-02-14 22:57:05,@jasonbush2006 I don't remember them restricting the heller decision to those serving in militias
699004377411903490,2016-02-14 22:56:45,@jasonbush2006 unfortunately my version won't have the extra words you imagine are in the second amendment
699003845318344704,2016-02-14 22:54:38,@precisepools thank you John!
699002854934081536,2016-02-14 22:50:42,"RT @Chuck7703: Exciting week ahead ""So As I Was Saying"" by Frank Mankiewscz is out with a forward by his son @BenMank77. Looking forward to…"
699002609768615936,2016-02-14 22:49:43,"@jasonbush2006 the cool thing about the term ""legislate from the bench"" is that it only applies to instances you disagree with"
699000510007803904,2016-02-14 22:41:23,@precisepools https://t.co/kf81b6UrpL!
699000174937378816,2016-02-14 22:40:03,"@jasonbush2006 its actually not their duty, that's, again, a custom that came out of early SC cases. check the constitution"
698972380140429313,2016-02-14 20:49:36,"Under new GOP ""logic"" it would be unreasonable of Republican senators and congressmen to try to pass laws until after the election."
698962214212874240,2016-02-14 20:09:12,Who cares? The constitution and the Founding Fathers have already sided with him. https://t.co/LdqkdxvLaG
698918905176195072,2016-02-14 17:17:06,I just want to watch Jacky Chan movies all day.
698917471797907456,2016-02-14 17:11:25,"If Republicans wanted to decide when Supreme Court nominees are chosen, they should have won the 2008 and 2012 elections."
698912211935211523,2016-02-14 16:50:31,"@jamenta @cenkuygur well to be fair I didn't think rubio won, i assumed bush did as well as him"
698910566924988417,2016-02-14 16:43:58,Bad news for Jeb! (He got beat by... Carson?) but good to see Trump's stumble wasn't just in my mind.  https://t.co/ZYZLdE2g2A
698910258366959616,2016-02-14 16:42:45,"Oh, is that not convenient for you anymore, Mitch? https://t.co/WGURzjDhhY"
698904586770231296,2016-02-14 16:20:13,@3Ruggieri I'm familiar with it but I haven't played it
698904475273007106,2016-02-14 16:19:46,@PeteLampros and the global warming hoax lie serves to get people like you to support corporations getting rich as they wreck the climate
698768120068984832,2016-02-14 07:17:56,@4everliampayne_ trump I guess. he doesn't have to do anything to win with that crowd
698766067062042624,2016-02-14 07:09:47,"""Regardless of party, any President's judicial nominees, after full debate, deserve a simple up-or-down vote."" - Mitch McConnell.... in 2005"
698764142979600384,2016-02-14 07:02:08,@hearteyeslest I'd tell him now but I don't want to wake him up
698764085714747392,2016-02-14 07:01:55,@rnklopp thank you!
698764063170392065,2016-02-14 07:01:49,"@hearteyeslest haha no, i google as the mood hits me :) but if such a page of them exists I'd take a look"
698761525759188992,2016-02-14 06:51:44,"@RadioBear13 ""jajajajajajaja"""
698748971573850112,2016-02-14 06:01:51,"@ody357 no. the senate can make agreements about its use, but there is no constitutional basis for the filibuster. point to one"
698747500119724032,2016-02-14 05:56:00,@ody357 the filibuster is not based in any law. its a social custom of the senate
698741222936961025,2016-02-14 05:31:04,"Could someone please explain to the GOP and the media that ""lame duck"" isn't a law?"
698740458747375618,2016-02-14 05:28:01,@M4RSH_mell0w if they tie it generally means that the lower courts ruling stands
698724666844680192,2016-02-14 04:25:16,"Damn, this is funnier than anything I tweeted all night. #GOPDebate  https://t.co/rV5xqiXOkO"
698723576778588160,2016-02-14 04:20:57,@brokencarpenter good point
698721889036832768,2016-02-14 04:14:14,"Hmm, I think you might be biased though. #GOPDebate  https://t.co/77l6uCK2ku"
698718335618297857,2016-02-14 04:00:07,The only possible reaction to the mess that this #GOPDebate was. https://t.co/u7w7Teylnq
698717536028786690,2016-02-14 03:56:56,"Trump: ""We don't win anymore. We don't win at jobs. We don't win at Halo. I've never won a three legged race. How does that even work?!"""
698717093651357696,2016-02-14 03:55:11,"Donald Trump's closing statement about ""winning"" designed to appeal to losers. #GOPDebate"
698716757775659008,2016-02-14 03:53:51,"Who WOULD look their daughter in the eyes and whisper, in that creepy way ""We lost our liberties?"" #GOPDebate"
698716594072002560,2016-02-14 03:53:12,"Cruz: ""The world is literally hanging in the balance,"" losing the vote of every English teacher in America. #GOPDebate"
698716290869923840,2016-02-14 03:51:59,"Carson: ""Please go to my website. https://t.co/Mo9M5RB0kb. Thank you."" #GOPDebate"
698715953761116160,2016-02-14 03:50:39,Jeb Bush knows what the greatest threat facing America is. #GOPDebate https://t.co/XTDdKLT6mV
698715380307480577,2016-02-14 03:48:22,"""Dr. Carson? ... Ben? ... Could someone give him a little shake?"" #GOPDebate https://t.co/GJyrTw6Jxw"
698714004600926209,2016-02-14 03:42:54,"""Mr. Bush, what would your patronus be? #GOPDebate These questions, Jesus."
698713777844260864,2016-02-14 03:42:00,@Skeleton_Friend haha nah I rely on lightning fast googling
698713710492147712,2016-02-14 03:41:44,Does anyone else think Trump has been sort of awkward and stumbling in comparison to past debates? #GOPDebate
698713299433566210,2016-02-14 03:40:06,Jeb cut and run from a rotarian last week. #GOPDebate https://t.co/bv9unasgsQ
698712976287600642,2016-02-14 03:38:49,"I agree with Trump, let's not bleep swears, and we shouldn't be scared of them. Here, I'll start.

Donald, fuck you. 

#GOPDebate"
698712745730920450,2016-02-14 03:37:54,"RT @feministabulous: ""I don't need to do this."" -Trump #GOPDebate 

America: Then don't."
698712599899164673,2016-02-14 03:37:19,"Trump: ""My wife tells me I'm wrong all the time. And I tell her, come on, she's my daughter, I can look if I want to."" #GOPDebate"
698712211091382274,2016-02-14 03:35:47,"Kasich uses the expression ""explode the economy"" as a GOOD thing. #GOPDebate"
