Intended : atheism
Actual : atheism
Percentage : 100.0%
Intended : atheism
Actual : forsale
Percentage : 50.0%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : atheism
Percentage : 50.0%
Intended : atheism
Actual : forsale
Percentage : 40.0%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : atheism
Percentage : 37.5%
Intended : atheism
Actual : atheism
Percentage : 44.4444444444%
Intended : atheism
Actual : atheism
Percentage : 50.0%
Intended : atheism
Actual : forsale
Percentage : 45.4545454545%
Intended : atheism
Actual : forsale
Percentage : 41.6666666667%
Intended : atheism
Actual : forsale
Percentage : 38.4615384615%
Intended : atheism
Actual : forsale
Percentage : 35.7142857143%
Intended : atheism
Actual : atheism
Percentage : 40.0%
Intended : atheism
Actual : forsale
Percentage : 37.5%
Intended : atheism
Actual : forsale
Percentage : 35.2941176471%
Intended : atheism
Actual : atheism
Percentage : 38.8888888889%
Intended : atheism
Actual : religion
Percentage : 36.8421052632%
Intended : atheism
Actual : mideastpolitics
Percentage : 35.0%
Intended : atheism
Actual : religion
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 31.8181818182%
Intended : atheism
Actual : atheism
Percentage : 34.7826086957%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 32.0%
Intended : atheism
Actual : forsale
Percentage : 30.7692307692%
Intended : atheism
Actual : forsale
Percentage : 29.6296296296%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : forsale
Percentage : 27.5862068966%
Intended : atheism
Actual : atheism
Percentage : 30.0%
Intended : atheism
Actual : atheism
Percentage : 32.2580645161%
Intended : atheism
Actual : forsale
Percentage : 31.25%
Intended : atheism
Actual : forsale
Percentage : 30.303030303%
Intended : atheism
Actual : christianity
Percentage : 29.4117647059%
Intended : atheism
Actual : atheism
Percentage : 31.4285714286%
Intended : atheism
Actual : forsale
Percentage : 30.5555555556%
Intended : atheism
Actual : atheism
Percentage : 32.4324324324%
Intended : atheism
Actual : forsale
Percentage : 31.5789473684%
Intended : atheism
Actual : forsale
Percentage : 30.7692307692%
Intended : atheism
Actual : forsale
Percentage : 30.0%
Intended : atheism
Actual : religion
Percentage : 29.2682926829%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : forsale
Percentage : 27.9069767442%
Intended : atheism
Actual : forsale
Percentage : 27.2727272727%
Intended : atheism
Actual : atheism
Percentage : 28.8888888889%
