Intended : atheism
Actual : atheism
Percentage : 100.0%
Intended : atheism
Actual : forsale
Percentage : 50.0%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : atheism
Percentage : 50.0%
Intended : atheism
Actual : forsale
Percentage : 40.0%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : atheism
Percentage : 37.5%
Intended : atheism
Actual : atheism
Percentage : 44.4444444444%
Intended : atheism
Actual : atheism
Percentage : 50.0%
Intended : atheism
Actual : forsale
Percentage : 45.4545454545%
Intended : atheism
Actual : forsale
Percentage : 41.6666666667%
Intended : atheism
Actual : forsale
Percentage : 38.4615384615%
Intended : atheism
Actual : forsale
Percentage : 35.7142857143%
Intended : atheism
Actual : atheism
Percentage : 40.0%
Intended : atheism
Actual : forsale
Percentage : 37.5%
Intended : atheism
Actual : forsale
Percentage : 35.2941176471%
Intended : atheism
Actual : atheism
Percentage : 38.8888888889%
Intended : atheism
Actual : religion
Percentage : 36.8421052632%
Intended : atheism
Actual : mideastpolitics
Percentage : 35.0%
Intended : atheism
Actual : religion
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 31.8181818182%
Intended : atheism
Actual : atheism
Percentage : 34.7826086957%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 32.0%
Intended : atheism
Actual : forsale
Percentage : 30.7692307692%
Intended : atheism
Actual : forsale
Percentage : 29.6296296296%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : forsale
Percentage : 27.5862068966%
Intended : atheism
Actual : atheism
Percentage : 30.0%
Intended : atheism
Actual : atheism
Percentage : 32.2580645161%
Intended : atheism
Actual : forsale
Percentage : 31.25%
Intended : atheism
Actual : forsale
Percentage : 30.303030303%
Intended : atheism
Actual : christianity
Percentage : 29.4117647059%
Intended : atheism
Actual : atheism
Percentage : 31.4285714286%
Intended : atheism
Actual : forsale
Percentage : 30.5555555556%
Intended : atheism
Actual : atheism
Percentage : 32.4324324324%
Intended : atheism
Actual : forsale
Percentage : 31.5789473684%
Intended : atheism
Actual : forsale
Percentage : 30.7692307692%
Intended : atheism
Actual : forsale
Percentage : 30.0%
Intended : atheism
Actual : religion
Percentage : 29.2682926829%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : forsale
Percentage : 27.9069767442%
Intended : atheism
Actual : forsale
Percentage : 27.2727272727%
Intended : atheism
Actual : atheism
Percentage : 28.8888888889%
Intended : atheism
Actual : forsale
Percentage : 28.2608695652%
Intended : atheism
Actual : atheism
Percentage : 29.7872340426%
Intended : atheism
Actual : medicine
Percentage : 29.1666666667%
Intended : atheism
Actual : forsale
Percentage : 28.5714285714%
Intended : atheism
Actual : atheism
Percentage : 30.0%
Intended : atheism
Actual : atheism
Percentage : 31.3725490196%
Intended : atheism
Actual : atheism
Percentage : 32.6923076923%
Intended : atheism
Actual : atheism
Percentage : 33.9622641509%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : atheism
Percentage : 34.5454545455%
Intended : atheism
Actual : forsale
Percentage : 33.9285714286%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 32.7586206897%
Intended : atheism
Actual : forsale
Percentage : 32.2033898305%
Intended : atheism
Actual : forsale
Percentage : 31.6666666667%
Intended : atheism
Actual : atheism
Percentage : 32.7868852459%
Intended : atheism
Actual : atheism
Percentage : 33.8709677419%
Intended : atheism
Actual : atheism
Percentage : 34.9206349206%
Intended : atheism
Actual : forsale
Percentage : 34.375%
Intended : atheism
Actual : religion
Percentage : 33.8461538462%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 32.8358208955%
Intended : atheism
Actual : atheism
Percentage : 33.8235294118%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : atheism
Percentage : 34.2857142857%
Intended : atheism
Actual : forsale
Percentage : 33.8028169014%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : atheism
Percentage : 34.2465753425%
Intended : atheism
Actual : atheism
Percentage : 35.1351351351%
Intended : atheism
Actual : forsale
Percentage : 34.6666666667%
Intended : atheism
Actual : forsale
Percentage : 34.2105263158%
Intended : atheism
Actual : atheism
Percentage : 35.0649350649%
Intended : atheism
Actual : atheism
Percentage : 35.8974358974%
Intended : atheism
Actual : forsale
Percentage : 35.4430379747%
Intended : atheism
Actual : atheism
Percentage : 36.25%
Intended : atheism
Actual : forsale
Percentage : 35.8024691358%
Intended : atheism
Actual : forsale
Percentage : 35.3658536585%
Intended : atheism
Actual : forsale
Percentage : 34.9397590361%
Intended : atheism
Actual : atheism
Percentage : 35.7142857143%
Intended : atheism
Actual : atheism
Percentage : 36.4705882353%
Intended : atheism
Actual : atheism
Percentage : 37.2093023256%
Intended : atheism
Actual : forsale
Percentage : 36.7816091954%
Intended : atheism
Actual : forsale
Percentage : 36.3636363636%
Intended : atheism
Actual : forsale
Percentage : 35.9550561798%
Intended : atheism
Actual : atheism
Percentage : 36.6666666667%
Intended : atheism
Actual : atheism
Percentage : 37.3626373626%
Intended : atheism
Actual : religion
Percentage : 36.9565217391%
Intended : atheism
Actual : atheism
Percentage : 37.6344086022%
Intended : atheism
Actual : atheism
Percentage : 38.2978723404%
Intended : atheism
Actual : forsale
Percentage : 37.8947368421%
Intended : atheism
Actual : forsale
Percentage : 37.5%
Intended : atheism
Actual : atheism
Percentage : 38.1443298969%
Intended : atheism
Actual : atheism
Percentage : 38.7755102041%
Intended : atheism
Actual : atheism
Percentage : 39.3939393939%
Intended : atheism
Actual : atheism
Percentage : 40.0%
Intended : atheism
Actual : forsale
Percentage : 39.603960396%
Intended : atheism
Actual : forsale
Percentage : 39.2156862745%
Intended : atheism
Actual : religion
Percentage : 38.8349514563%
Intended : atheism
Actual : forsale
Percentage : 38.4615384615%
Intended : atheism
Actual : atheism
Percentage : 39.0476190476%
Intended : atheism
Actual : atheism
Percentage : 39.6226415094%
Intended : atheism
Actual : forsale
Percentage : 39.2523364486%
Intended : atheism
Actual : forsale
Percentage : 38.8888888889%
Intended : atheism
Actual : atheism
Percentage : 39.4495412844%
Intended : atheism
Actual : forsale
Percentage : 39.0909090909%
Intended : atheism
Actual : forsale
Percentage : 38.7387387387%
Intended : atheism
Actual : forsale
Percentage : 38.3928571429%
Intended : atheism
Actual : forsale
Percentage : 38.0530973451%
Intended : atheism
Actual : forsale
Percentage : 37.7192982456%
Intended : atheism
Actual : forsale
Percentage : 37.3913043478%
Intended : atheism
Actual : forsale
Percentage : 37.0689655172%
Intended : atheism
Actual : forsale
Percentage : 36.7521367521%
Intended : atheism
Actual : forsale
Percentage : 36.4406779661%
Intended : atheism
Actual : atheism
Percentage : 36.974789916%
Intended : atheism
Actual : forsale
Percentage : 36.6666666667%
Intended : atheism
Actual : forsale
Percentage : 36.3636363636%
Intended : atheism
Actual : forsale
Percentage : 36.0655737705%
Intended : atheism
Actual : forsale
Percentage : 35.7723577236%
Intended : atheism
Actual : religion
Percentage : 35.4838709677%
Intended : atheism
Actual : forsale
Percentage : 35.2%
Intended : atheism
Actual : forsale
Percentage : 34.9206349206%
Intended : atheism
Actual : religion
Percentage : 34.6456692913%
Intended : atheism
Actual : atheism
Percentage : 35.15625%
Intended : atheism
Actual : forsale
Percentage : 34.8837209302%
Intended : atheism
Actual : forsale
Percentage : 34.6153846154%
Intended : atheism
Actual : christianity
Percentage : 34.3511450382%
Intended : atheism
Actual : forsale
Percentage : 34.0909090909%
Intended : atheism
Actual : forsale
Percentage : 33.8345864662%
Intended : atheism
Actual : forsale
Percentage : 33.5820895522%
Intended : atheism
Actual : forsale
Percentage : 33.3333333333%
Intended : atheism
Actual : xwindows
Percentage : 33.0882352941%
Intended : atheism
Actual : electronics
Percentage : 32.8467153285%
Intended : atheism
Actual : atheism
Percentage : 33.3333333333%
Intended : atheism
Actual : forsale
Percentage : 33.0935251799%
Intended : atheism
Actual : forsale
Percentage : 32.8571428571%
Intended : atheism
Actual : guns
Percentage : 32.6241134752%
Intended : atheism
Actual : atheism
Percentage : 33.0985915493%
Intended : atheism
Actual : mideastpolitics
Percentage : 32.8671328671%
Intended : atheism
Actual : forsale
Percentage : 32.6388888889%
Intended : atheism
Actual : forsale
Percentage : 32.4137931034%
Intended : atheism
Actual : atheism
Percentage : 32.8767123288%
Intended : atheism
Actual : forsale
Percentage : 32.6530612245%
Intended : atheism
Actual : forsale
Percentage : 32.4324324324%
Intended : atheism
Actual : atheism
Percentage : 32.8859060403%
Intended : atheism
Actual : atheism
Percentage : 33.3333333333%
Intended : atheism
Actual : atheism
Percentage : 33.7748344371%
Intended : atheism
Actual : atheism
Percentage : 34.2105263158%
Intended : atheism
Actual : atheism
Percentage : 34.6405228758%
Intended : atheism
Actual : atheism
Percentage : 35.0649350649%
Intended : atheism
Actual : forsale
Percentage : 34.8387096774%
Intended : atheism
Actual : atheism
Percentage : 35.2564102564%
Intended : atheism
Actual : atheism
Percentage : 35.6687898089%
Intended : atheism
Actual : forsale
Percentage : 35.4430379747%
Intended : atheism
Actual : atheism
Percentage : 35.8490566038%
Intended : atheism
Actual : forsale
Percentage : 35.625%
Intended : atheism
Actual : forsale
Percentage : 35.4037267081%
Intended : atheism
Actual : forsale
Percentage : 35.1851851852%
Intended : atheism
Actual : forsale
Percentage : 34.9693251534%
Intended : atheism
Actual : atheism
Percentage : 35.3658536585%
Intended : atheism
Actual : atheism
Percentage : 35.7575757576%
Intended : atheism
Actual : atheism
Percentage : 36.1445783133%
Intended : atheism
Actual : atheism
Percentage : 36.5269461078%
Intended : atheism
Actual : forsale
Percentage : 36.3095238095%
Intended : atheism
Actual : forsale
Percentage : 36.0946745562%
Intended : atheism
Actual : forsale
Percentage : 35.8823529412%
Intended : atheism
Actual : forsale
Percentage : 35.6725146199%
Intended : atheism
Actual : atheism
Percentage : 36.0465116279%
Intended : atheism
Actual : forsale
Percentage : 35.838150289%
Intended : atheism
Actual : atheism
Percentage : 36.2068965517%
Intended : atheism
Actual : forsale
Percentage : 36.0%
Intended : atheism
Actual : forsale
Percentage : 35.7954545455%
Intended : atheism
Actual : religion
Percentage : 35.593220339%
Intended : atheism
Actual : atheism
Percentage : 35.9550561798%
Intended : atheism
Actual : forsale
Percentage : 35.7541899441%
Intended : atheism
Actual : atheism
Percentage : 36.1111111111%
Intended : atheism
Actual : forsale
Percentage : 35.9116022099%
Intended : atheism
Actual : atheism
Percentage : 36.2637362637%
Intended : atheism
Actual : forsale
Percentage : 36.0655737705%
Intended : atheism
Actual : hockey
Percentage : 35.8695652174%
Intended : atheism
Actual : forsale
Percentage : 35.6756756757%
Intended : atheism
Actual : forsale
Percentage : 35.4838709677%
Intended : atheism
Actual : atheism
Percentage : 35.8288770053%
Intended : atheism
Actual : forsale
Percentage : 35.6382978723%
Intended : atheism
Actual : forsale
Percentage : 35.4497354497%
Intended : atheism
Actual : forsale
Percentage : 35.2631578947%
Intended : atheism
Actual : atheism
Percentage : 35.6020942408%
Intended : atheism
Actual : motorcycles
Percentage : 35.4166666667%
Intended : atheism
Actual : forsale
Percentage : 35.2331606218%
Intended : atheism
Actual : atheism
Percentage : 35.5670103093%
Intended : atheism
Actual : forsale
Percentage : 35.3846153846%
Intended : atheism
Actual : forsale
Percentage : 35.2040816327%
Intended : atheism
Actual : atheism
Percentage : 35.5329949239%
Intended : atheism
Actual : atheism
Percentage : 35.8585858586%
Intended : atheism
Actual : atheism
Percentage : 36.1809045226%
Intended : atheism
Actual : atheism
Percentage : 36.5%
Intended : atheism
Actual : forsale
Percentage : 36.3184079602%
Intended : atheism
Actual : forsale
Percentage : 36.1386138614%
Intended : atheism
Actual : forsale
Percentage : 35.960591133%
Intended : atheism
